t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.853,-0.924475,-8.93343,-3.00815,-3.05176,7.38525,40.2222
55.857,-0.799937,-9.04359,-2.94109,-3.11279,6.5918,40.0391
55.863,-0.675399,-9.17293,-2.99378,-3.17383,6.46973,39.6118
55.868,-0.723291,-9.24478,-3.04647,-3.2959,6.83594,38.5132
55.873,-0.943634,-8.97175,-3.05125,-3.72314,6.65283,37.9028
55.878,-0.958005,-9.16813,-2.95066,-4.15039,4.88281,36.8652
55.882,-1.04423,-9.29747,-2.91234,-4.45557,3.60107,36.3159
55.888,-1.18793,-9.19209,-2.87881,-4.69971,3.35693,35.6445
55.892,-1.03944,-9.3789,-2.78301,-5.06592,2.62451,34.8511
55.898,-1.27894,-9.49385,-2.8884,-4.94385,0.976562,34.3018
55.902,-1.36516,-9.52738,-2.8836,-5.31006,-1.34277,34.0576
55.907,-1.346,-9.35494,-2.95546,-6.04248,-3.41797,33.1421
55.912,-1.28852,-9.45554,-2.95546,-6.34766,-5.18799,32.1655
55.917,-1.24062,-9.49385,-2.98899,-6.34766,-6.5918,31.0669
55.922,-1.33642,-9.31663,-2.96025,-6.89697,-7.20215,29.7852
55.927,-1.47054,-9.1825,-2.96503,-7.32422,-8.42285,28.7476
55.932,-1.59509,-9.14419,-2.8836,-7.56836,-10.0098,28.2593
55.937,-1.68609,-9.26394,-2.87881,-7.50732,-12.207,27.5269
55.941,-1.5855,-9.1394,-3.02731,-7.56836,-14.0991,26.9165
55.946,-1.38912,-9.08191,-2.99856,-7.99561,-15.564,26.123
55.951,-1.18793,-8.97175,-3.1279,-8.30078,-16.4185,25.8789
55.956,-1.19751,-9.00048,-3.19496,-8.36182,-17.395,25.6348
55.961,-1.14003,-9.11065,-3.19975,-8.54492,-18.8599,25.6958
55.966,-1.16398,-9.08671,-3.28118,-8.72803,-20.752,26.3061
55.971,-1.14961,-9.21125,-3.18059,-8.60596,-23.3154,26.7334
55.976,-1.14482,-9.30704,-3.16622,-8.60596,-26.123,27.71
55.981,-0.96759,-9.24956,-3.09916,-8.66699,-28.4424,29.1138
55.985,-0.814308,-9.23519,-3.02731,-8.8501,-29.7241,30.4565
55.99,-0.574807,-9.32141,-3.07041,-8.8501,-29.48,32.7759
55.995,-0.354465,-9.40763,-3.1231,-8.66699,-27.9541,35.2783
56,-0.167653,-9.31184,-3.33866,-8.97217,-24.9634,38.0859
56.005,-0.124538,-9.4268,-3.57337,-9.39941,-22.3389,40.7104
56.01,-0.110166,-9.56091,-3.57816,-9.39941,-21.1182,43.5181
56.015,-0.153281,-9.70462,-3.49194,-9.15527,-20.3857,46.5088
56.02,-0.191599,-9.98244,-3.41051,-9.0332,-19.7754,49.8047
56.024,-0.464631,-10.1549,-3.40093,-8.23975,-19.5312,53.0395
56.029,-0.340093,-10.2651,-3.35303,-7.32422,-19.4092,55.6641
56.034,-0.273032,-10.8878,-3.27638,-6.5918,-19.043,59.021
56.039,-0.560435,-11.1847,-3.30991,-5.7373,-18.6157,62.9272
56.044,-0.747247,-11.0794,-3.33866,-5.37109,-19.165,66.1621
56.049,-0.4311,-11.5488,-3.34344,-5.43213,-19.9585,68.9087
56.054,-0.330509,-11.52,-3.3626,-5.5542,-19.3481,72.5098
56.059,-0.210758,-11.5632,-3.46319,-5.98144,-18.6768,75.3174
56.063,-0.296978,-11.8027,-3.47757,-6.34766,-18.3105,78.6133
56.068,-0.622709,-11.8889,-3.28597,-6.34766,-18.4937,82.2754
56.073,-0.747247,-11.8793,-3.20453,-6.71387,-18.7378,84.4116
56.078,-0.857414,-11.908,-3.30513,-6.89697,-19.5923,86.3647
56.083,-0.732876,-11.6781,-3.45362,-6.34766,-20.4468,88.0737
56.088,-0.713717,-11.8122,-3.60211,-5.43213,-21.8506,90.332
56.093,-1.31247,-11.8027,-3.71707,-4.63867,-24.292,94.5434
56.097,-1.45618,-11.5057,-3.76976,-4.3335,-27.71,96.4355
56.103,-1.20709,-11.4626,-3.7506,-4.45557,-31.4941,97.5342
56.107,-1.13524,-11.6254,-3.85119,-4.39453,-34.8511,99.8535
56.113,-1.24062,-11.817,-3.71228,-4.27246,-37.7808,102.966
56.118,-1.35079,-11.932,-3.60211,-3.90625,-40.4663,105.103
56.123,-1.47534,-11.8697,-3.42488,-3.60107,-43.1519,106.384
56.128,-1.36516,-12.1619,-3.41051,-3.17383,-47.4243,108.582
56.132,-0.986749,-12.6313,-3.33387,-1.83106,-51.2695,110.352
56.138,-0.804724,-13.0672,-3.21891,-0.061035,-53.4668,111.694
56.142,-0.699345,-13.484,-3.171,1.89209,-55.2978,113.647
56.148,-0.622709,-13.8959,-3.22849,3.479,-57.7393,116.089
56.152,-0.718504,-14.1785,-3.28597,4.69971,-62.0727,118.591
56.158,-0.459844,-14.4276,-3.34824,5.85938,-69.1528,120.972
56.163,-0.0383179,-14.7006,-3.44404,6.71387,-77.2705,123.23
56.167,0.124538,-15.1748,-3.42966,7.75146,-85.9375,126.526
56.173,0.632284,-15.6203,-3.34344,8.91113,-95.8862,130.127
56.177,1.40348,-16.1664,-3.2716,9.27734,-105.591,133.118
56.183,1.99266,-16.7268,-2.98419,10.5591,-114.746,136.536
56.187,2.39023,-17.3208,-2.67763,12.7563,-125.793,140.503
56.193,2.69679,-17.9004,-2.32316,15.9302,-138.855,144.104
56.197,3.03209,-18.5422,-1.82979,19.6533,-153.564,147.278
56.202,3.19975,-19.0117,-1.32205,22.9492,-169.434,150.146
56.208,3.09437,-19.1649,-0.646656,25.8179,-185.669,153.503
56.212,3.34824,-19.0212,-0.0143716,27.3437,-200.195,157.532
56.218,4.10028,-18.3842,0.0910074,26.001,-208.984,162.109
56.222,4.7613,-17.201,-0.325721,21.8506,-209.656,168.03
56.228,4.87147,-15.9077,-1.46096,14.4653,-200.684,175.598
56.232,4.82836,-15.5101,-2.90756,5.7373,-183.35,184.631
56.238,4.68944,-15.8167,-4.07153,-2.56348,-161.011,192.993
56.243,4.26793,-15.8598,-4.83315,-10.1929,-134.644,198.425
56.248,3.52547,-15.6059,-4.79483,-16.5405,-106.384,202.393
56.253,2.33754,-15.0886,-4.2296,-22.8271,-80.8716,204.956
56.257,0.13891,-14.212,-3.65001,-27.4658,-63.2935,204.895
56.263,-1.24062,-12.6984,-3.02731,-29.8462,-54.0161,198.853
56.267,-0.871785,-11.2374,-2.39502,-31.9214,-49.1943,187.683
56.273,-0.589179,-9.83395,-1.93997,-32.959,-46.7529,176.086
56.277,-0.809521,-9.17293,-1.84896,-33.2031,-46.9971,165.71
56.283,-1.28852,-9.29747,-2.10762,-30.2124,-50.2319,155.884
56.288,-1.04423,-9.6136,-2.46687,-23.1934,-59.5093,146.118
56.292,0.162866,-9.66151,-2.55309,-16.4185,-72.3877,135.925
56.298,1.38432,-9.34057,-2.5004,-15.2588,-85.083,127.197
56.302,2.0214,-8.80888,-2.50519,-19.4702,-91.4307,121.338
56.307,1.40827,-7.93231,-2.46208,-24.9023,-87.7075,116.15
56.312,0.134122,-6.33243,-1.7819,-27.6489,-77.5146,106.75
56.317,-2.17468,-4.45474,-1.61903,-29.6631,-66.3452,94.6045
56.322,-4.55532,-2.60099,-1.85375,-31.4331,-53.0395,81.2988
56.327,-4.35415,-2.51956,-1.79626,-36.7432,-52.063,68.2373
56.332,-3.68833,-4.45474,-2.62015,-44.7388,-60.3638,61.8286
56.336,-4.24397,-6.48093,-2.34233,-44.6167,-63.2324,53.4058
56.341,-4.92895,-3.80329,-1.61903,-21.1792,-70.9229,23.8647
56.346,-5.44149,-0.340093,-2.11241,-16.8457,-81.2378,-9.27734
56.351,-4.25356,-0.641868,-1.67651,-27.832,-89.1724,-33.9966
56.356,-1.80106,-1.72441,-0.88137,-27.3437,-91.7358,-56.5186
56.361,0.622709,-2.81175,-0.493374,-26.9165,-89.7217,-70.7397
56.366,2.23694,-3.69312,-0.110166,-27.2827,-84.5337,-79.7119
56.371,3.02251,-3.93741,0.354465,-27.1606,-76.416,-89.1113
56.375,3.16622,-3.71228,1.01549,-26.6724,-67.5049,-98.8159
56.38,2.9315,-3.45841,1.32205,-26.6724,-59.6924,-108.093
56.385,2.72553,-3.21891,1.38432,-27.3437,-52.2461,-117.554
56.39,2.63452,-3.08957,1.3939,-28.1982,-46.0205,-127.563
56.395,2.60099,-3.04168,1.45138,-29.1748,-41.9922,-137.268
56.4,2.50998,-3.03688,1.37474,-29.9072,-38.8794,-146.179
56.405,2.3567,-3.13269,1.16398,-31.189,-34.1187,-154.48
56.41,2.19863,-3.38656,1.14961,-32.1655,-27.71,-162.476
56.415,2.05493,-3.61169,1.18793,-31.9824,-21.7285,-170.288
56.419,1.88728,-3.76018,1.02985,-30.7617,-16.6626,-178.894
56.424,1.77231,-3.9422,0.790352,-30.0293,-12.6953,-188.354
56.429,1.46096,-4.22003,0.593966,-29.9683,-12.3291,-197.998
56.434,1.1065,-4.48827,0.411942,-28.6865,-14.2822,-206.543
56.439,0.986749,-4.83315,0.210758,-27.2217,-15.2588,-213.379
56.444,0.775991,-5.1445,-0.0383179,-26.3672,-16.2964,-219.299
56.449,0.632284,-5.24031,-0.0526895,-24.4141,-19.2261,-227.417
56.454,0.536489,-5.28341,-0.0143716,-22.3999,-22.3389,-237.671
56.458,0.541277,-5.37922,-0.00958437,-21.3623,-25.6958,-247.742
56.463,0.589179,-5.5804,-0.0143716,-20.5078,-29.1748,-257.141
56.468,0.479003,-5.92528,-0.0958045,-20.1416,-33.3862,-265.32
56.473,0.426313,-6.30369,-0.244289,-20.0195,-38.3301,-272.583
56.478,0.440685,-6.64378,-0.378411,-19.8975,-42.7246,-279.602
56.483,0.48379,-7.08926,-0.541277,-20.1416,-46.4477,-286.377
56.488,0.411942,-7.5012,-0.517321,-20.3247,-49.1333,-292.847
56.493,0.229927,-7.76944,-0.593966,-21.0571,-50.8423,-299.255
56.498,0.201183,-8.09516,-0.675399,-22.2168,-53.894,-305.481
56.503,0.306563,-8.49274,-0.689771,-23.2544,-57.373,-310.791
56.507,0.215555,-8.91426,-0.517321,-24.292,-58.0444,-315.369
56.513,0.57001,-9.34537,-0.57001,-26.4893,-59.1431,-320.557
56.517,1.35079,-9.99202,-0.761619,-28.5645,-60.1807,-326.355
56.523,1.63819,-10.495,-0.593966,-29.4189,-59.3872,-332.825
56.527,1.28852,-10.9069,-0.392783,-30.3345,-60.3638,-339.661
56.533,1.07297,-11.4051,-0.268245,-31.311,-62.6831,-343.872
56.538,0.953218,-12.0661,-0.335306,-33.2031,-63.9038,-345.886
56.542,0.732876,-12.8038,-0.474215,-35.4004,-65.4297,-347.351
56.548,0.608338,-13.7378,-0.407154,-34.79,-72.3267,-348.877
56.552,0.627497,-14.3845,-0.105379,-32.5317,-80.2612,-350.281
56.558,0.493374,-14.8156,0.0814328,-33.1421,-83.4961,-353.21
56.562,0.359252,-15.4479,-0.210758,-36.0107,-86.1816,-356.323
56.568,0.296978,-16.0083,-0.704132,-39.917,-88.8672,-357.422
56.572,0.110166,-16.5927,-1.23104,-44.7388,-91.0034,-358.154
56.577,-0.316147,-17.4405,-1.80106,-50.1709,-92.7734,-358.704
56.583,-1.19751,-18.3411,-2.39981,-55.0537,-92.8345,-357.605
56.587,-2.66806,-19.0883,-2.75906,-59.5093,-90.9424,-355.469
56.593,-4.71819,-19.5961,-2.9794,-64.3921,-88.8672,-353.394
56.597,-6.48571,-19.9697,-3.22369,-69.519,-89.4165,-351.685
56.603,-7.52037,-20.2523,-3.6548,-75.0122,-89.5996,-349.853
56.607,-8.39694,-20.5397,-3.85119,-80.1392,-86.853,-346.985
56.613,-9.04838,-20.7792,-3.7985,-82.9468,-84.1675,-343.14
56.618,-9.38369,-20.9229,-3.32429,-83.0688,-84.0454,-338.379
56.623,-9.45554,-21.0474,-2.47166,-82.0923,-86.1816,-331.421
56.628,-9.31663,-21.0522,-1.28852,-81.0547,-89.5996,-321.228
56.632,-9.53697,-20.8223,-0.39757,-80.3833,-93.2617,-308.044
56.638,-10.107,-20.3864,0.479003,-79.1626,-95.7031,-293.152
56.642,-11.0027,-19.6248,1.18314,-76.416,-97.4121,-277.222
56.648,-12.1236,-18.6476,1.50887,-72.4487,-96.3135,-260.498
56.652,-13.3929,-17.9291,1.35559,-66.8945,-94.1772,-242.126
56.658,-14.9018,-17.8716,0.977164,-59.9365,-92.2241,-221.069
56.663,-16.8514,-18.2357,0.622709,-52.4902,-91.98,-197.937
56.667,-19.1218,-18.571,0.680186,-45.105,-96.0083,-173.523
56.673,-21.2869,-18.4848,1.33642,-37.1094,-105.041,-149.109
56.677,-22.7144,-18.001,2.18905,-28.0151,-118.164,-124.634
56.683,-22.2976,-16.9903,2.74948,-18.9819,-129.7,-98.4497
56.687,-20.6834,-15.079,2.38065,-12.6953,-128.967,-70.2515
56.693,-19.1458,-13.8145,1.89206,-7.62939,-115.906,-41.1987
56.697,-17.9339,-13.5989,1.26936,-1.77002,-99.5483,-11.1084
56.702,-17.0094,-13.9678,0.474215,4.15039,-83.374,19.4702
56.707,-16.4682,-14.5521,0.0191589,10.1929,-68.1152,47.9736
56.712,-15.2898,-18.456,-2.77822,9.70459,-59.3872,74.3408
56.717,-11.1943,-20.5445,-3.15663,3.35693,-62.8662,102.417
56.722,-5.22593,-15.9125,1.81543,12.8784,-55.4199,117.981
56.727,-0.665815,-12.6792,1.36516,14.5874,-29.8462,127.502
56.732,4.74693,-9.43638,-3.71228,7.20215,0.976562,122.925
