t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.802,0.00773906,-9.11711,3.598,27.482,19.7107,26.2733
55.808,-0.292554,-9.10606,3.67071,27.4682,22.551,24.2643
55.812,-0.545869,-9.01217,3.84215,26.9374,24.3536,22.4774
55.818,-0.723978,-8.86557,3.87034,25.8519,25.0129,21.2029
55.822,-0.898293,-8.73038,3.85659,25.3229,25.2318,20.7261
55.827,-0.802429,-8.89565,3.83809,25.4336,25.3484,20.321
55.833,-0.738921,-8.79885,3.80103,25.3848,26.3954,19.0275
55.837,-0.884157,-8.59588,3.77144,24.7861,28.1641,17.7456
55.843,-1.0444,-8.49159,3.92656,24.2878,29.042,16.8968
55.847,-1.03446,-8.42779,4.18577,24.4189,28.8611,17.0276
55.853,-1.03716,-8.38834,4.27433,24.4999,27.8415,17.501
55.857,-0.883348,-8.47919,4.28946,24.481,27.1339,17.9082
55.863,-0.809296,-8.6479,4.2568,24.1643,26.8323,17.8085
55.868,-0.865479,-8.71781,4.30359,23.2451,26.5865,17.1373
55.873,-1.07316,-8.43543,4.28775,22.5591,26.2534,17.2218
55.878,-0.975718,-8.53448,4.45975,21.8772,24.4357,18.0111
55.882,-0.98411,-8.59068,4.60942,21.527,23.2237,18.6792
55.888,-1.08021,-8.44513,4.65899,20.9368,22.7538,18.6494
55.892,-0.875241,-8.58925,4.71678,20.27,21.8697,18.9208
55.898,-1.09252,-8.66194,4.88763,20.2851,20.2351,19.5209
55.902,-1.14246,-8.65952,4.96561,20.3023,18.3768,20.9768
55.907,-1.21202,-8.56594,4.8184,19.5523,16.4744,22.2013
55.912,-1.15313,-8.66361,4.83885,18.9973,14.651,22.9408
55.917,-1.13606,-8.72634,4.81318,18.4989,12.9608,23.2101
55.922,-1.21601,-8.54095,4.78771,17.3421,11.9747,23.2907
55.927,-1.33763,-8.39553,4.79562,16.5557,10.5936,23.7634
55.932,-1.37438,-8.28413,4.89488,16.3483,9.15217,24.5975
55.937,-1.41125,-8.34877,5.02567,16.298,7.00409,25.4641
55.941,-1.46875,-8.35843,4.81524,16.1901,5.1999,26.2945
55.946,-1.32377,-8.3582,4.66801,15.6202,3.75232,27.0279
55.951,-1.29558,-8.40025,4.40959,15.4014,3.03955,27.5997
55.956,-1.34345,-8.4552,4.39946,15.3748,2.1546,28.0824
55.961,-1.28608,-8.56297,4.42307,15.5689,1.07861,29.0763
55.966,-1.36392,-8.57914,4.38489,16.2269,-0.0496848,30.5863
55.971,-1.26025,-8.62996,4.49672,17.0961,-1.90123,32.194
55.976,-1.22872,-8.70005,4.55586,18.3099,-3.62203,34.2921
